field_manufacturer,title,field_category,field_module_size,field_location,field_stock,field_available,field_quantity,field_date_scraped,field_supplier,field_url,field_price,field_moq
Growatt," SPH 5000 TL BL-UP, 5kW, 1ph, Hybrid Inverter",Inverter,,UK,Yes,0,11,15/12/2024 09:14:42,ESTG,https://www.alternergy.co.uk/products/solar-inverters/growatt-sph-5000-tl-bl-up-5kw-1ph-hybrid-inverter,621.19,11
Growatt," MIN 5000 TL-XH, 5.0kW, 1ph, 2MPPT, HV, Hybrid Inverter",Inverter,,UK,Yes,0,18,15/12/2024 09:14:49,ESTG,https://www.alternergy.co.uk/products/solar-inverters/growatt-min-5000-tlxh-5kw-1ph-2mppt-hybrid-inverter,420.08,18
Solplanet," 5.0kW, 3ph 2MPPT Inverter, WiFi-Stick, With DC",Inverter,,UK,Yes,0,6,15/12/2024 09:14:57,ESTG,https://www.alternergy.co.uk/products/solar-inverters/solplanet-aswltg2-5kw-3ph-2mppt-inverter-stick-dc,309.00,6
Growatt," MOD 5kW TL3-X 3ph Inverter, 2 Mppt With DC",Inverter,,UK,Yes,0,1,15/12/2024 09:15:05,ESTG,https://www.alternergy.co.uk/products/solar-inverters/growatt-mod-5kw-tl3x-3ph-dc,454.72,1
Growatt," MIN 5000 TL-XE 1Ph, 2 MPPts Inverter, No DC Isolator",Inverter,,UK,0,0,0,15/12/2024 09:15:14,ESTG,https://www.alternergy.co.uk/products/solar-inverters/growatt-min-5000-tl-xe-no-dc-isolator,263.25,0
Huawei, SUN2000 5KTL-L1 1ph Hybrid Inverter,Inverter,,UK,Yes,0,8,15/12/2024 09:15:23,ESTG,https://www.alternergy.co.uk/products/solar-inverters/huawei-sun2000-5-ktl-l1-1ph-hybrid-inverter,654.15,8
SMA, Sunny Tripower STP6.0-3AV-40 Three Phase Inverter,Inverter,,UK,Yes,0,5,15/12/2024 09:15:31,ESTG,https://www.alternergy.co.uk/products/solar-inverters/sma-sunny-tripower-3ph-stp6-3av-40,749.00,5
Growatt," 6.0kW, 1 Ph, 2 MPPTs, LV, Hybrid Inverter",Inverter,,UK,Yes,0,1,15/12/2024 09:15:39,ESTG,https://www.alternergy.co.uk/products/solar-inverters/growatt-6-0kw-hybrid-inverter,738.49,1
Huawei, SUN2000 6KTL-L1 1ph Hybrid Inverter,Inverter,,UK,Yes,0,18,15/12/2024 09:15:47,ESTG,https://www.alternergy.co.uk/products/solar-inverters/huawei-sun2000-6-ktl-l1-1ph-hybrid-inverter,743.08,18
Growatt," MOD 6kW TL3-X 3ph Inverter, 2 Mppt With DC",Inverter,,UK,0,0,0,15/12/2024 09:15:54,ESTG,https://www.alternergy.co.uk/products/solar-inverters/growatt-mod-6kw-tl3x-3ph-dc,471.48,0
Solplanet," 6.0kW, 3ph 2MPPT Inverter, WiFi-Stick, With DC",Inverter,,UK,Yes,0,2,15/12/2024 09:16:02,ESTG,https://www.alternergy.co.uk/products/solar-inverters/solplanet-aswltg2-6kw-3ph-2mppt-inverter-stick-dc,319.00,2
Growatt," MIN 6000 TL-XH, 6.0kW, 1ph, 2MPPT, HV, Hybrid Inverter",Inverter,,UK,Yes,0,11,15/12/2024 09:16:10,ESTG,https://www.alternergy.co.uk/products/solar-inverters/growatt-min-6000-tlxh-6.0kw-1ph-2mppt-hybrid-inverter,436.84,11
Growatt," SPH 6000 TL BL-UP, 6kW, 1ph, Hybrid Inverter",Inverter,,UK,Yes,0,11,15/12/2024 09:16:17,ESTG,https://www.alternergy.co.uk/products/solar-inverters/growatt-sph-6000-tl-bl-up-6kw-1ph-hybrid-inverter,639.07,11
